,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,duracion
100,Vogue,['Madonna'],2024-07-12T16:20:49Z,False,spotify:track:7j5TIXPi0cCbSSqItmbyZy,62,,https://open.spotify.com/track/7j5TIXPi0cCbSSqItmbyZy,['6tbjWDEIzxoDsBA1FuhfPW'],317080
101,"Bailamos - From ""Wild Wild West""",['Enrique Iglesias'],2024-07-12T16:20:49Z,False,spotify:track:1ySwd43oWXbrytN2BD0Mhb,62,,https://open.spotify.com/track/1ySwd43oWXbrytN2BD0Mhb,['7qG3b048QCHVRO5Pv1T5lw'],212693
102,You Don't Know Me (feat. Duane Harden) - Radio Edit,"['Armand Van Helden', 'Duane Harden']",2024-07-12T16:20:49Z,False,spotify:track:7BpyfQEmvi0sUmOq29plEE,61,,https://open.spotify.com/track/7BpyfQEmvi0sUmOq29plEE,"['3cQA9WH8liZfeja1DxcDYE', '6t8VAB5OTHKxi4p1I5aqn0']",242333
103,Encore Une Fois - Future Breeze Edit,"['Sash!', 'Future Breeze']",2024-07-12T16:20:49Z,False,spotify:track:3UPBOL5UtCZmJRwioMkfLD,61,,https://open.spotify.com/track/3UPBOL5UtCZmJRwioMkfLD,"['5XTxV2ifoYkmNb13Gb6cKz', '2Qa4UBwzhEFt1Tpj95cZls']",221160
104,"Tom's Diner - 7"" Version","['DNA', 'Suzanne Vega', 'Neal Slateford', 'Nick Batt']",2024-07-12T16:20:49Z,False,spotify:track:4sutLmjkVKRN6pOAMo2joC,61,,https://open.spotify.com/track/4sutLmjkVKRN6pOAMo2joC,"['2rGm8R7YDTbqDCVlNssQyL', '3X0tJzVYoWlfjLYI0Ridsw', '4a09epliVikRqsBczNwZb2', '1VOvPysGbgHhsfKA6NaKnl']",227866
105,Emotions,['Mariah Carey'],2024-07-12T16:20:49Z,False,spotify:track:0cELvuwJW1acISUHYB6suj,61,,https://open.spotify.com/track/0cELvuwJW1acISUHYB6suj,['4iHNK0tOyZPYnBU7nGAgpQ'],248093
106,I Promised Myself,['Nick Kamen'],2024-07-12T16:20:49Z,False,spotify:track:5jVJAojK3LFKETjI2gYb8O,60,,https://open.spotify.com/track/5jVJAojK3LFKETjI2gYb8O,['05GsKvp0yKuCyWQMsPAAmB'],240773
107,Get Ready,['2 Unlimited'],2024-07-12T16:20:49Z,False,spotify:track:4tvOVmc2jorV20Z2hFDtDg,60,,https://open.spotify.com/track/4tvOVmc2jorV20Z2hFDtDg,['18JD8DVlD1fakDAw7E9LFC'],222911
108,Macarena - Bayside Boys Remix,['Los Del Rio'],2024-07-12T16:20:49Z,False,spotify:track:7obdw7ZGr6l1GqSBkFiY11,60,,https://open.spotify.com/track/7obdw7ZGr6l1GqSBkFiY11,['2JXn03fudjyRkQ1Ye9f5rk'],252133
109,Step by Step,['New Kids On The Block'],2024-07-12T16:20:49Z,False,spotify:track:6J6RWKCPN5RFKHUKEUFjxS,60,,https://open.spotify.com/track/6J6RWKCPN5RFKHUKEUFjxS,['55qiaow2sDYtjqu1mwRua6'],267293
110,That Don't Impress Me Much,['Shania Twain'],2024-07-12T16:20:49Z,False,spotify:track:4I7DV3MIgxJGlObiy9s6nx,60,,https://open.spotify.com/track/4I7DV3MIgxJGlObiy9s6nx,['5e4Dhzv426EvQe3aDb64jL'],238706
111,I'm Every Woman,['Whitney Houston'],2024-07-12T16:20:49Z,False,spotify:track:2eHj0klWkwRQuIrNlPpCPa,60,,https://open.spotify.com/track/2eHj0klWkwRQuIrNlPpCPa,['6XpaIBNiVzIetEPCWDvAFP'],285106
112,Crying at the Discoteque - Radio Edit,['Alcazar'],2024-07-12T16:20:49Z,False,spotify:track:7gQAFGUyHPcY0cQNPsjMf0,60,,https://open.spotify.com/track/7gQAFGUyHPcY0cQNPsjMf0,['5HnkAAaf0MCIxMWzsJNrdg'],231533
113,C'est La Vie,['B*Witched'],2024-07-12T16:20:49Z,False,spotify:track:0P6CPJrNJ1Zt755CQTWg3S,60,,https://open.spotify.com/track/0P6CPJrNJ1Zt755CQTWg3S,['72eP0W3rIhkxd0NHGg4w4u'],173693
114,"You're My Heart, You're My Soul '98",['Modern Talking'],2024-07-12T16:20:49Z,False,spotify:track:1bNYIF1HZlWJe8ZKmTIFfT,60,,https://open.spotify.com/track/1bNYIF1HZlWJe8ZKmTIFfT,['79bxUQsBIXO8nVLB9fYKf7'],230266
115,God Is a DJ,['Faithless'],2024-07-12T16:20:49Z,False,spotify:track:1pUFYb9peWkK8m1WCKNRjp,60,,https://open.spotify.com/track/1pUFYb9peWkK8m1WCKNRjp,['5T4UKHhr4HGIC0VzdZQtAE'],208506
116,Now That We Found Love,"['Heavy D & The Boyz', 'Aaron Hall']",2024-07-12T16:20:49Z,False,spotify:track:1KONmY3enP3r3nIPQidWAy,60,,https://open.spotify.com/track/1KONmY3enP3r3nIPQidWAy,"['4KHdmkq99PXA6QEJ2lKpA3', '772SIFJQiXTCfxncTK1UMn']",258200
117,Who Do You Think You Are,['Spice Girls'],2024-07-12T16:20:49Z,False,spotify:track:1jI1aLmm5HTwiMtvsbwDJw,60,,https://open.spotify.com/track/1jI1aLmm5HTwiMtvsbwDJw,['0uq5PttqEjj3IH1bzwcrXF'],240706
118,Sunchyme,['Dario G'],2024-07-12T16:20:49Z,False,spotify:track:2YOuBWIyHgyvHnLMpjzBf2,59,,https://open.spotify.com/track/2YOuBWIyHgyvHnLMpjzBf2,['3Eo78i1MPfle0XVjMvia8A'],235850
119,Shy Guy,['Diana King'],2024-07-12T16:20:49Z,False,spotify:track:3ldG6XCLDXxWg1N6XhrSKo,59,,https://open.spotify.com/track/3ldG6XCLDXxWg1N6XhrSKo,['221iMiF62DFPnVuCLJakP1'],258560
120,We've Got It Goin' On - Radio Edit,['Backstreet Boys'],2024-07-12T16:20:49Z,False,spotify:track:7qD9lD0dabABT6y3Vw3uVX,59,,https://open.spotify.com/track/7qD9lD0dabABT6y3Vw3uVX,['5rSXSAkZ67PYJSvpUpkOr7'],219466
121,Bring It All Back,['S Club'],2024-07-12T16:20:49Z,False,spotify:track:3v0uXfyMEZ1lGvBOv1Y4ar,59,,https://open.spotify.com/track/3v0uXfyMEZ1lGvBOv1Y4ar,['0HNGrIbq1ZNO2mTp3tMW4L'],214400
122,Missing - Todd Terry Remix / Radio Edit,['Everything But The Girl'],2024-07-12T16:20:49Z,False,spotify:track:1IsvXZXAV9EBC4hBKW6yDN,59,,https://open.spotify.com/track/1IsvXZXAV9EBC4hBKW6yDN,['13ccXrK7AmXb4TddMkE7jy'],235026
123,Let's Talk About Sex,['Salt-N-Pepa'],2024-07-12T16:20:49Z,False,spotify:track:6hTBP6QLwJdxbKyLlLXrGo,58,,https://open.spotify.com/track/6hTBP6QLwJdxbKyLlLXrGo,['7wqtxqI3eo7Gn1P7SpP6cQ'],213266
124,It's a Rainy Day,['Ice Mc'],2024-07-12T16:20:49Z,False,spotify:track:2pjj239FG6qY3tj6hhjxeC,58,,https://open.spotify.com/track/2pjj239FG6qY3tj6hhjxeC,['5wlyJXaam6QmyDn8qBLZx8'],255400
125,My Lovin' (You're Never Gonna Get It),['En Vogue'],2024-07-12T16:20:49Z,False,spotify:track:3R97rNX7JnmshCWBwOSFet,58,,https://open.spotify.com/track/3R97rNX7JnmshCWBwOSFet,['5fikk4h5qbEebqK2Fc6e48'],281613
126,Baby Baby,['Corona'],2024-07-12T16:20:49Z,False,spotify:track:4lDKORchTM8Rd0PFQFXTLX,58,,https://open.spotify.com/track/4lDKORchTM8Rd0PFQFXTLX,['26T6b8maqEVltcmE4kSDUl'],228013
127,Motownphilly,['Boyz II Men'],2024-07-12T16:20:49Z,False,spotify:track:4LxIGAVfcQIw0zAQRyFhU8,58,,https://open.spotify.com/track/4LxIGAVfcQIw0zAQRyFhU8,['6O74knDqdv3XaWtkII7Xjp'],235226
128,Freedom! '90,['George Michael'],2024-07-12T16:20:49Z,False,spotify:track:1SKApv6ZfJ9bkUxeRObJEF,58,,https://open.spotify.com/track/1SKApv6ZfJ9bkUxeRObJEF,['19ra5tSw0tWufvUp8GotLo'],388400
129,Moving on Up,['M People'],2024-07-12T16:20:49Z,False,spotify:track:6vGW3d8X48CBaLdU0PQbey,58,,https://open.spotify.com/track/6vGW3d8X48CBaLdU0PQbey,['3lcbKPLl0ci2mKRdcP5Etf'],215533
130,Feel the heat of the night - Radio Edit,['Masterboy'],2024-07-12T16:20:49Z,False,spotify:track:44o1MQVbm8S827avRs4RHc,58,,https://open.spotify.com/track/44o1MQVbm8S827avRs4RHc,['76JYFj8E2jcib0XIrnWR6E'],221840
131,Don't Turn Around,['Ace of Base'],2024-07-12T16:20:49Z,False,spotify:track:4SYMibQ93bfzOk6uzkF0dO,58,,https://open.spotify.com/track/4SYMibQ93bfzOk6uzkF0dO,['5ksRONqssB7BR161NTtJAm'],230186
132,Born Slippy (Nuxx) - Radio Edit,['Underworld'],2024-07-12T16:20:49Z,False,spotify:track:3bUNyRrTFJDd4mqvUcb1Aa,58,,https://open.spotify.com/track/3bUNyRrTFJDd4mqvUcb1Aa,['1PXHzxRDiLnjqNrRn2Xbsa'],264187
133,"5, 6, 7, 8",['Steps'],2024-07-12T16:20:49Z,False,spotify:track:3oWZwdnnwsCwMukQbPsEiy,57,,https://open.spotify.com/track/3oWZwdnnwsCwMukQbPsEiy,['17UkABEasVRlCcIFZ3wHb7'],202266
134,This Is How We Do It,"['Montell Jordan', 'Wino']",2024-07-12T16:20:49Z,True,spotify:track:1poBO3pO6fkqPYG6n8J5cX,57,,https://open.spotify.com/track/1poBO3pO6fkqPYG6n8J5cX,"['0iVrCROxeyon7MZUW3MfzT', '2UEm3mXEPGyxeWQJYc8WSx']",277293
135,Lollipop (Candyman),['Aqua'],2024-07-12T16:20:49Z,False,spotify:track:7hIKkllltXJFgGfUZbVazE,57,,https://open.spotify.com/track/7hIKkllltXJFgGfUZbVazE,['6kBjAFKyd0he7LiA5GQ3Gz'],216626
136,Freestyler,"[""Bomfunk MC's""]",2024-07-12T16:20:49Z,False,spotify:track:2vlgOAH3M8Fmo19wOjeRyw,57,,https://open.spotify.com/track/2vlgOAH3M8Fmo19wOjeRyw,['0NeC6ploeJUq8oDwYQjNPS'],306000
137,Everybody Everybody,['Black Box'],2024-07-12T16:20:49Z,False,spotify:track:6wBMTv8yTiNh50fqTkT0JC,57,,https://open.spotify.com/track/6wBMTv8yTiNh50fqTkT0JC,['6tsRo8ErXzpHk3tQeH6GBW'],247001
138,I'm Your Baby Tonight,['Whitney Houston'],2024-07-12T16:20:49Z,False,spotify:track:3SmPl0CGxvvkQCrTv7edEE,57,,https://open.spotify.com/track/3SmPl0CGxvvkQCrTv7edEE,['6XpaIBNiVzIetEPCWDvAFP'],299426
139,Dreamer - Janice Robinson Vocal,"[""Livin' Joy""]",2024-07-12T16:20:49Z,False,spotify:track:6wetvpPWooBdmAEOKnDhpo,57,,https://open.spotify.com/track/6wetvpPWooBdmAEOKnDhpo,['3PUzVXdNnsJGPDTIU7xvqu'],223535
140,Love Is All Around,['DJ BoBo'],2024-07-12T16:20:49Z,False,spotify:track:0juz4iKEbAAKHfPzqgixRK,56,,https://open.spotify.com/track/0juz4iKEbAAKHfPzqgixRK,['14dmbYen0AciYxu5n4Fkpd'],269706
141,The Summer Is Magic - Radio Mix,['Playahitty'],2024-07-12T16:20:49Z,False,spotify:track:3riZWJaCsJLpTH9s2gGtGc,56,,https://open.spotify.com/track/3riZWJaCsJLpTH9s2gGtGc,['6zZWFyAqVLEWelkVuQRUCz'],236666
142,Mustang Sally,"['The Commitments', 'Andrew Strong']",2024-07-12T16:20:49Z,False,spotify:track:1XlCCgKKrQQfXaDyv4GrZe,56,,https://open.spotify.com/track/1XlCCgKKrQQfXaDyv4GrZe,"['5kiBy7FO5L4ywMz1xF70PX', '7MdthKITrvbzo6v1PG80Te']",241866
143,Get Up (Before The Night Is Over),['Technotronic'],2024-07-12T16:20:49Z,False,spotify:track:2MOOJh1xUgND4rLjB6h4jY,56,,https://open.spotify.com/track/2MOOJh1xUgND4rLjB6h4jY,['2Cd98zHVdZeOCisc6Gi2sB'],337093
144,Poison,['Bell Biv DeVoe'],2024-07-12T16:20:49Z,False,spotify:track:50DAHcCqneoupFyh96P2GP,56,,https://open.spotify.com/track/50DAHcCqneoupFyh96P2GP,['2zFZiWQJFFshzojycnXoTL'],261866
145,Eins Zwei Polizei,['Mo-Do'],2024-07-12T16:20:49Z,False,spotify:track:015p8TgFahkz0viuux9YGJ,56,,https://open.spotify.com/track/015p8TgFahkz0viuux9YGJ,['3Y42QTbwNJeqEVmrMknG0f'],313426
146,Never Alone,['2 Brothers On The 4th Floor'],2024-07-12T16:20:49Z,False,spotify:track:4cqiLvFRDuV8ClE61eMmZx,56,,https://open.spotify.com/track/4cqiLvFRDuV8ClE61eMmZx,['5wsBGjgRsASMggXLPF7pYm'],351026
147,Cantaloop (Flip Fantasia),"['Us3', 'Rahsaan', 'Gerard Presencer']",2024-07-12T16:20:49Z,False,spotify:track:06DSI8L6IT8SizCw3JLckz,56,,https://open.spotify.com/track/06DSI8L6IT8SizCw3JLckz,"['4LtIfuFeAamus9OOItuWDD', '2cNCyL3WSlAatld5duatyD', '5A8UenAZRv51yZVv13nFQo']",279360
148,Dear Jessie,['Rollergirl'],2024-07-12T16:20:49Z,False,spotify:track:7h2jT3YLmtDAxf4cF6rSQu,56,,https://open.spotify.com/track/7h2jT3YLmtDAxf4cF6rSQu,['4OA1c70ANsRopn5bWmJ0Rk'],214666
149,The Launch - Radio Edit,['DJ Jean'],2024-07-12T16:20:49Z,False,spotify:track:6FP4peicCGnib7asns71fs,56,,https://open.spotify.com/track/6FP4peicCGnib7asns71fs,['73MDPnjHtoqOexpBNe4FPl'],220360
