,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,duracion
22,Return of the Mack,['Mark Morrison'],2024-07-12T16:20:49Z,False,spotify:track:3jDdpx9PMlfMBS5tOBHFm9,78,,https://open.spotify.com/track/3jDdpx9PMlfMBS5tOBHFm9,['6V3F8MZrOKdT9fU686ybE9'],213093
23,No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",2024-07-12T16:20:49Z,False,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,77,,https://open.spotify.com/track/6MdqqkQ8sSC0WB4i8PyRuQ,"['2P3cjUru4H3fhSXXNxE9kA', '6DPYiyq5kWVQS4RGwxzPC7', '0VbIlorLz3I5SEtIsc5vAr']",304600
24,Doo Wop (That Thing),['Ms. Lauryn Hill'],2024-07-12T16:20:49Z,False,spotify:track:0uEp9E98JB5awlA084uaIg,77,,https://open.spotify.com/track/0uEp9E98JB5awlA084uaIg,['2Mu5NfyYm8n5iTomuKAEHl'],320266
25,Livin' la Vida Loca,['Ricky Martin'],2024-07-12T16:20:49Z,False,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,75,,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd,['7slfeZO9LsJbWgpkIoXBUJ'],243160
26,Miami,['Will Smith'],2024-07-12T16:20:49Z,False,spotify:track:6e8Ou0wiqAzIpWb2eSxll8,75,,https://open.spotify.com/track/6e8Ou0wiqAzIpWb2eSxll8,['41qil2VaGbD194gaEcmmyx'],197560
27,Happy Nation,['Ace of Base'],2024-07-12T16:20:49Z,False,spotify:track:7yCF65vpc7sUwPjftI0iFb,74,,https://open.spotify.com/track/7yCF65vpc7sUwPjftI0iFb,['5ksRONqssB7BR161NTtJAm'],255413
28,Music Sounds Better With You - Radio Edit,"['Stardust', 'Benjamin Diamond', 'Alan Braxe', 'Thomas Bangalter']",2024-07-12T16:20:49Z,False,spotify:track:1mv4lh1rW1K6xhxhJmEezy,74,,https://open.spotify.com/track/1mv4lh1rW1K6xhxhJmEezy,"['2w7IutHv5g4e8LumrwtjWR', '2XOvFG8pp1XAV1V6ZJABim', '24JRvbKfTcF2x7c2kCCJrW', '41vv2Tj1knysv6MuFUmdwi']",260906
29,Remember the Time,['Michael Jackson'],2024-07-12T16:20:49Z,False,spotify:track:4jnFqNWeJCeCRHc4HCdxfd,73,,https://open.spotify.com/track/4jnFqNWeJCeCRHc4HCdxfd,['3fMbdgg4jU18AjLCKBhRSm'],239226
30,U Can't Touch This,['MC Hammer'],2024-07-12T16:20:49Z,False,spotify:track:1B75hgRqe7A4fwee3g3Wmu,72,,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu,['2rblp9fJo16ZPTcKDtlmKW'],257359
31,Around the World,['Daft Punk'],2024-07-12T16:20:49Z,False,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,72,,https://open.spotify.com/track/1pKYYY0dkg23sQQXi0Q5zN,['4tZwfgrHOc3mvqYlEYSvVi'],429533
