title,type,year,genre,idOwner
Los cachorros,Movie,1973,Drama,tt0066877
La noche de los brujos,Movie,1974,Drama,tt0066144
Angelica: The Young Vixen,Movie,1974,Drama,tt0065402
"Fe, esperanza y caridad",Movie,1974,Drama,tt0065716
Bárbara,Movie,1974,Drama,tt0066876
A Private Enterprise,Movie,1974,Drama,tt0067619
Cinco mil dolares de recompensa,Movie,1974,Drama,tt0068382
Deixem-me ao Menos Subir às Palmeiras,Movie,1974,Drama,tt0068469
"Vera, un cuento cruel",Movie,1974,Drama,tt0068433
Dead of Night,Movie,1974,Drama,tt0068457
Street Sisters,Movie,1974,Drama,tt0069322
La noche de los brujos,Movie,1974,Drama,tt0066144
Angelica: The Young Vixen,Movie,1974,Drama,tt0065402
"Fe, esperanza y caridad",Movie,1974,Drama,tt0065716
Bárbara,Movie,1974,Drama,tt0066876
A Private Enterprise,Movie,1974,Drama,tt0067619
Cinco mil dolares de recompensa,Movie,1974,Drama,tt0068382
Deixem-me ao Menos Subir às Palmeiras,Movie,1974,Drama,tt0068469
"Vera, un cuento cruel",Movie,1974,Drama,tt0068433
Dead of Night,Movie,1974,Drama,tt0068457
Street Sisters,Movie,1974,Drama,tt0069322
La noche de los brujos,Movie,1974,Drama,tt0066144
Angelica: The Young Vixen,Movie,1974,Drama,tt0065402
"Fe, esperanza y caridad",Movie,1974,Drama,tt0065716
Bárbara,Movie,1974,Drama,tt0066876
A Private Enterprise,Movie,1974,Drama,tt0067619
Cinco mil dolares de recompensa,Movie,1974,Drama,tt0068382
Deixem-me ao Menos Subir às Palmeiras,Movie,1974,Drama,tt0068469
"Vera, un cuento cruel",Movie,1974,Drama,tt0068433
Dead of Night,Movie,1974,Drama,tt0068457
Street Sisters,Movie,1974,Drama,tt0069322
La noche de los brujos,Movie,1974,Drama,tt0066144
Angelica: The Young Vixen,Movie,1974,Drama,tt0065402
"Fe, esperanza y caridad",Movie,1974,Drama,tt0065716
Bárbara,Movie,1974,Drama,tt0066876
A Private Enterprise,Movie,1974,Drama,tt0067619
Cinco mil dolares de recompensa,Movie,1974,Drama,tt0068382
Deixem-me ao Menos Subir às Palmeiras,Movie,1974,Drama,tt0068469
"Vera, un cuento cruel",Movie,1974,Drama,tt0068433
Dead of Night,Movie,1974,Drama,tt0068457
Street Sisters,Movie,1974,Drama,tt0069322
Katerina a jeji deti,Movie,1975,Drama,tt0065935
Eliza's Horoscope,Movie,1975,Drama,tt0065685
Smoke in the Wind,Movie,1975,Drama,tt0067766
El clan de los inmorales,Movie,1975,Drama,tt0069887
La comtesse perverse,Movie,1975,Drama,tt0069930
Butterflies,Movie,1975,Drama,tt0069831
Cartas na Mesa,Movie,1975,Drama,tt0069849
"Libera, amore mio!",Movie,1975,Drama,tt0070308
Anderusen dôwa ningyo-hime,Movie,1975,Drama,tt0070326
The Kill,Movie,1975,Drama,tt0070269
Katerina a jeji deti,Movie,1975,Drama,tt0065935
Eliza's Horoscope,Movie,1975,Drama,tt0065685
Smoke in the Wind,Movie,1975,Drama,tt0067766
El clan de los inmorales,Movie,1975,Drama,tt0069887
La comtesse perverse,Movie,1975,Drama,tt0069930
Butterflies,Movie,1975,Drama,tt0069831
Cartas na Mesa,Movie,1975,Drama,tt0069849
"Libera, amore mio!",Movie,1975,Drama,tt0070308
Anderusen dôwa ningyo-hime,Movie,1975,Drama,tt0070326
The Kill,Movie,1975,Drama,tt0070269
Katerina a jeji deti,Movie,1975,Drama,tt0065935
Eliza's Horoscope,Movie,1975,Drama,tt0065685
Smoke in the Wind,Movie,1975,Drama,tt0067766
El clan de los inmorales,Movie,1975,Drama,tt0069887
La comtesse perverse,Movie,1975,Drama,tt0069930
Butterflies,Movie,1975,Drama,tt0069831
Cartas na Mesa,Movie,1975,Drama,tt0069849
"Libera, amore mio!",Movie,1975,Drama,tt0070308
Anderusen dôwa ningyo-hime,Movie,1975,Drama,tt0070326
The Kill,Movie,1975,Drama,tt0070269
Katerina a jeji deti,Movie,1975,Drama,tt0065935
Eliza's Horoscope,Movie,1975,Drama,tt0065685
Smoke in the Wind,Movie,1975,Drama,tt0067766
El clan de los inmorales,Movie,1975,Drama,tt0069887
La comtesse perverse,Movie,1975,Drama,tt0069930
Butterflies,Movie,1975,Drama,tt0069831
Cartas na Mesa,Movie,1975,Drama,tt0069849
"Libera, amore mio!",Movie,1975,Drama,tt0070308
Anderusen dôwa ningyo-hime,Movie,1975,Drama,tt0070326
The Kill,Movie,1975,Drama,tt0070269
